adresse,da,name,objectid,plz,poi_id,gsz_id,geometry,geometry
Weststrasse 4,Grün Stadt Zürich,Manessestrasse / Weststrasse,6904,8036,sp9641,TAZ002,POINT Z (2682029 1247045 0),POINT Z (2682029 1247045 0)
Weidmannstrasse                                                       ,Grün Stadt Zürich,Ruggächeranlage                                                       ,10415,8046,sp175,175,POINT Z (2680198 1253024.8 0),POINT Z (2680198 1253024.8 0)
Dora Staudingerstrasse                                                ,Grün Stadt Zürich,Holderbachwiese                                                       ,10416,8046,sp174,174,POINT Z (2680481 1252906.9 0),POINT Z (2680481 1252906.9 0)
Hardau                                                                ,Grün Stadt Zürich,Hardaupark                                                            ,10417,8004,sp173,173,POINT Z (2680878.2 1248185.6 0),POINT Z (2680878.2 1248185.6 0)
Irringersteig                                                         ,Grün Stadt Zürich,Irringersteig                                                         ,10418,8006,sp172,172,POINT Z (2684032 1248229.9 0),POINT Z (2684032 1248229.9 0)
Bernerstrasse 331 (Spielplatz)                                        ,Grün Stadt Zürich,Sportanlage Juchhof                                                   ,10419,8048,sp168,168,POINT Z (2677631.8 1250280.6 0),POINT Z (2677631.8 1250280.6 0)
Gablerstrasse 20 (Spielplatz)                                         ,Grün Stadt Zürich,Quartiertreff Enge                                                    ,10420,8002,sp166,166,POINT Z (2682408 1246003.2 0),POINT Z (2682408 1246003.2 0)
Klosterfahrweg                                                        ,Grün Stadt Zürich,Fabrik am Wasser                                                      ,10421,8049,sp165,165,POINT Z (2680570.8 1249937.6 0),POINT Z (2680570.8 1249937.6 0)
Letzigraben/Badener-/Brahmsstrasse                                    ,Grün Stadt Zürich,Heiligfeld                                                            ,10425,8003,sp105,105,POINT Z (2680533 1248191.1 0),POINT Z (2680533 1248191.1 0)
Bachwiesenstrasse/Mathysweg                                           ,Grün Stadt Zürich,GZ Bachwiesen                                                         ,10426,8047,sp103,103,POINT Z (2679131 1248252.9 0),POINT Z (2679131 1248252.9 0)
Klingen-/Josefstrasse 46                                              ,Grün Stadt Zürich,Klingenhof                                                            ,10427,8005,sp101,101,POINT Z (2682636 1248477.2 0),POINT Z (2682636 1248477.2 0)
"Saumackerstrasse, bei kath. Kirche                                    ",Grün Stadt Zürich,Saumackerstrasse                                                      ,10428,8048,sp100,100,POINT Z (2679225.8 1248689.6 0),POINT Z (2679225.8 1248689.6 0)
