"adr_inter","adresse","adrzus_int","behindertenparkplatz","bemerkung","ccmail","da","datum","datum_cms","dep","editor","erforderlichedokumente","fax","hausnummer","hindernisfreiheit","infrastruktur","isbetriebsferien_gebaeude","isbetriebsferien_schalter","kategorie","mail","name","namenzus","objectid","oeffnungszeiten_gebaeude_di","oeffnungszeiten_gebaeude_do","oeffnungszeiten_gebaeude_fr","oeffnungszeiten_gebaeude_mi","oeffnungszeiten_gebaeude_mo","oeffnungszeiten_gebaeude_sa","oeffnungszeiten_gebaeude_so","oeffnungszeiten_schalter_di","oeffnungszeiten_schalter_do","oeffnungszeiten_schalter_fr","oeffnungszeiten_schalter_mi","oeffnungszeiten_schalter_mo","oeffnungszeiten_schalter_sa","oeffnungszeiten_schalter_so","ort","plz","poi_id","postadresse","publish_internet","strasse","suchen","tel","tel2","www","zahlungsmittel_internet","zahlungsmittel_schalter","zahlungsmittel_telefon","zvv_label","zvv_link","geometry"
"","Leimbachstrasse 210","","","","","Alterszentren","202006041440","","Gesundheits- und Umweltdepartement (GUD)","aszbxt8z","","+41 44 414 24 25","210","0_",";NULL","1","0","Alterszentrum","asz-mittelleimbach@zuerich.ch","Gästeappartement Alterszentrum Mittelleimbach","","6926","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8041","al022","","0","Leimbachstrasse","Altersheime","+41 44 414 24 24","","https://www.stadt-zuerich.ch/alterszentren","NULL;NULL;","NULL;NULL;","NULL;NULL;","Leimbachstrasse 210","http://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Z%C3%BCrich%2C Leimbachstrasse 210","POINT (2681363 1242236)"
"","Lindenbachstrasse 1","","","","","Alterszentren","202003161721","","Gesundheits- und Umweltdepartement (GUD)","aszbglmk","","+41 44 414 09 10","1","0_",";NULL","1","0","Alterszentrum","asz-stampfenbach@zuerich.ch","Alterszentrum Stampfenbach","","6927","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8006","al028","","1","Lindenbachstrasse","Alterszentrum, Altersheime","+41 44 414 09 09","","https://www.stadt-zuerich.ch/alterszentren","NULL;NULL;","NULL;NULL;","NULL;NULL;","Lindenbachstrasse 1","https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Zürich%2C%20Lindenbachstrasse%201","POINT (2683083 1249035)"
"","Birmensdorferstrasse 489","","","","","Alterszentren","202003161721","","Gesundheits- und Umweltdepartement (GUD)","ahzcao","","","489","0_",";NULL","1","0","Alterszentrum","","Temporäres Alterszentrum Triemli","","6928","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8055","al030","","1","Birmensdorferstrasse","","","","https://www.stadt-zuerich.ch/alterszentren","NULL;NULL;NULL","NULL;NULL;NULL","NULL;NULL;NULL","Birmensdorferstrasse 489","https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Zürich%2C%20Birmensdorferstrasse%20489","POINT (2679955 1246842)"
"","Bullingerstrasse 69","","","","","Alterszentren","202003161721","","Gesundheits- und Umweltdepartement (GUD)","aszbglmk","","+41 44 414 15 16","69","0_",";NULL","1","0","Alterszentrum","asz-bullinger-hardau@zuerich.ch","Alterszentrum Bullinger-Hardau","","7640","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8004","al001","","1","Bullingerstrasse","Alterszentrum, Altersheime","+41 44 414 15 15","","https://www.stadt-zuerich.ch/alterszentren","NULL;NULL;","NULL;NULL;","NULL;NULL;","Bullingerstrasse 69","https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Zürich%2C%20Bullingerstrasse%2069","POINT (2680945 1248353)"
"","Leonhardstrasse 18","","","","","Alterszentren","202003161721","","Gesundheits- und Umweltdepartement (GUD)","ahzcao","","+41 44 414 11 10","18","blind_-1;gehbehinderung_-1;gehoerlos_-1;rollstuhl_-1;schwerhoerig_-1;sehbehinderung_-1","NULL;NULL","0","0","Alterszentrum","asz-buergerasyl-pfrundhaus@zuerich.ch","Alterszentrum Bürgerasyl-Pfrundhaus","","7642","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8001","al002","","1","Leonhardstrasse","Alterszentrum, Altersheime","+41 44 414 11 11","","https://www.stadt-zuerich.ch/alterszentren","NULL;NULL;NULL","NULL;NULL;NULL","NULL;NULL;NULL","Leonhardstrasse 18","https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Zürich%2C%20Leonhardstrasse%2018","POINT (2683628 1247977.9)"
"","Ebelstrasse 29","","","","","Alterszentren","202003161721","","Gesundheits- und Umweltdepartement (GUD)","aszbglmk","","+41 44 414 39 51","29","0_",";NULL","1","0","Alterszentrum","asz-doldertal@zuerich.ch","Alterszentrum Doldertal","","7643","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8032","al003","","1","Ebelstrasse","Alterszentrum, Altersheime","+41 44 414 39 50","","https://www.stadt-zuerich.ch/alterszentren","NULL;NULL;","NULL;NULL;","NULL;NULL;","Ebelstrasse 29","https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Z%C3%BCrich%2C Ebelstrasse 29","POINT (2685184 1247685)"
"","Dorflindenstrasse 4","","","","","Alterszentren","202003161721","","Gesundheits- und Umweltdepartement (GUD)","aszbglmk","","+41 44 414 22 01","4","blind_-1;gehbehinderung_-1;gehoerlos_-1;rollstuhl_-1;schwerhoerig_-1;sehbehinderung_-1","NULL;NULL","0","0","Alterszentrum","asz-dorflinde@zuerich.ch","Alterszentrum Dorflinde","","7644","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8050","al004","","1","Dorflindenstrasse","Alterszentrum, Altersheime","+41 44 414 22 00","","https://www.stadt-zuerich.ch/alterszentren","NULL;NULL;NULL","NULL;NULL;NULL","NULL;NULL;NULL","Dorflindenstrasse 4","https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Zürich%2C%20Dorflindenstrasse%204","POINT (2683845 1251386.9)"
"","Bändlistrasse 10","","","","","Alterszentren","202003161721","","Gesundheits- und Umweltdepartement (GUD)","ahzcao","","+41 44 414 13 14","10","blind_-1;gehbehinderung_-1;gehoerlos_-1;rollstuhl_-1;schwerhoerig_-1;sehbehinderung_-1","NULL;NULL","0","0","Alterszentrum","asz-gruenau@zuerich.ch","Alterszentrum Grünau","","7645","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8064","al005","","1","Bändlistrasse","Alterszentrum, Altersheime","+41 44 414 13 13","","https://www.stadt-zuerich.ch/alterszentren","NULL;NULL;NULL","NULL;NULL;NULL","NULL;NULL;NULL","Bändlistrasse 10","https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Zürich%2C%20Bändlistrasse%2010","POINT (2679374 1249902.9)"
"","Norastrasse 38","","","","","Alterszentren","202006041440","","Gesundheits- und Umweltdepartement (GUD)","aszbxt8z","","+41 44 405 46 65","38","0_",";NULL","1","0","Alterszentrum","asz-bullinger-hardau@zuerich.ch","Alterszentrum Hardau","","7646","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8004","al006","","0","Norastrasse","Alterszentrum, Altersheime","+41 44 405 46 56","","https://www.stadt-zuerich.ch/alterszentren","NULL;NULL;","NULL;NULL;","NULL;NULL;","Norastrasse 38","http://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Z%C3%BCrich%2C Norastrasse 38","POINT (2680835 1248413)"
"","Limmatstrasse 186","","","","","Alterszentren","202003161721","","Gesundheits- und Umweltdepartement (GUD)","gudscv","","+41 44 414 28 89","186","0_",";NULL","1","0","Alterszentrum","asz-limmat@zuerich.ch","Alterszentrum Limmat","","7647","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8005","al010","","1","Limmatstrasse","Alterszentrum, Altersheime","+41 44 414 28 88","","https://www.stadt-zuerich.ch/alterszentren","NULL;NULL;","NULL;NULL;","NULL;NULL;","Limmatstrasse 186","https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Zürich%2C%20Limmatstrasse%20186","POINT (2682411 1249028)"
