"adr_inter","adresse","adrzus_int","behindertenparkplatz","bemerkung","ccmail","da","datum","datum_cms","dep","editor","erforderlichedokumente","fax","hausnummer","hindernisfreiheit","infrastruktur","isbetriebsferien_gebaeude","isbetriebsferien_schalter","kategorie","mail","name","namenzus","objectid","oeffnungszeiten_gebaeude_di","oeffnungszeiten_gebaeude_do","oeffnungszeiten_gebaeude_fr","oeffnungszeiten_gebaeude_mi","oeffnungszeiten_gebaeude_mo","oeffnungszeiten_gebaeude_sa","oeffnungszeiten_gebaeude_so","oeffnungszeiten_schalter_di","oeffnungszeiten_schalter_do","oeffnungszeiten_schalter_fr","oeffnungszeiten_schalter_mi","oeffnungszeiten_schalter_mo","oeffnungszeiten_schalter_sa","oeffnungszeiten_schalter_so","ort","plz","poi_id","postadresse","publish_internet","strasse","suchen","tel","tel2","www","zahlungsmittel_internet","zahlungsmittel_schalter","zahlungsmittel_telefon","zvv_label","zvv_link","nummer","foto","eignung","geraete","bereich","infrastruk","besonderes","typ","elemente","gsz_id","geometry"
"","Weststrasse 4","Postfach","0","Das sind keine klassischen Spielplätze, aber da hat es Spielgeräte.<BR>Damit will man dieses Quartier aufwerten.<BR>","","Grün Stadt Zürich","202103300906","","Tiefbau- und Entsorgungsdepartement (TED)","gszhai","","","4","1_","Spielplatz;NULL","1","0","Spielplatz","","Manessestrasse / Weststrasse","","6904.0000000000","07.30;;;17.30","07.30;;;17.30","07.30;;;17.30","07.30;;;17.30","07.30;;;17.30","closed","closed","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8036","sp9641","Weststrasse 4<br>Postfach<br>8036 Zürich","1","Weststrasse","","+41 44 412 46 13","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","NULL;NULL;","NULL;NULL;","NULL;NULL;","Weststrasse 4","http://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Z%C3%BCrich%2C Weststrasse 4","","","","","","","","Kunstelement","","TAZ002","POINT Z (2682029 1247045 0)"
"","Weidmannstrasse                                                       ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Ruggächeranlage                                                       ","","10415.0000000000","","","","","","","","","","","","","","","","8046","sp175","","1","","Kiesfläche, Kletterelement, Brettschaukel,  Wasserförderanlage, Balanciergerät, Kletterelement, Korbschaukel, Spielhaus, Federwippe, Pumpe, Bockrutsche,    Seilanlage,  Sandbereich, Sitzbänke, Sonnensegel                                              ","+41 44 371 05 13","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","175","JA","0 - 9 Jahre","Kletterelement, Brettschaukel,  Wasserförderanlage, Balanciergerät, Kletterelement, Korbschaukel, Spielhaus, Federwippe, Pumpe, Bockrutsche,    Seilanlage,  Sandbereich","","Sitzbänke, Sonnensegel","Quartierspielplatz","Spielplatz","Kiesfläche","0175","POINT Z (2680198 1253024.8 0)"
"","Dora Staudingerstrasse                                                ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Holderbachwiese                                                       ","","10416.0000000000","","","","","","","","","","","","","","","","8046","sp174","","1","","Fussballwiese, keine Spielgeräte, Sitzbänke, Brunnen, Bolzplatz                                                                                                                                                                                           ","+41 44 371 05 13","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","174","JA","0 - 16 Jahre","keine Spielgeräte","","Sitzbänke, Brunnen","kleiner Bolzplatz","Spielplatz","Fussballwiese","0174","POINT Z (2680481 1252906.9 0)"
"","Hardau                                                                ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Hardaupark                                                            ","","10417.0000000000","","","","","","","","","","","","","","","","8004","sp173","","1","","Spiel- und Liegewiese, Liegerost aus Holz, Hartplatz, Balanciergerät, Matschtisch, Rotationsgerät, Brettschaukel, Sandbereich, Pumpe, Drehteller, Feuerstelle, Sitzbänke, Züri-WC, Basketball, Brunnen, Sonnenschirm, Parkanlage                          ","+41 44 461 21 17","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","173","JA","0 - 9 Jahre","Balanciergerät, Matschtisch, Rotationsgerät, Brettschaukel, Sandbereich, Pumpe, Drehteller","","Feuerstelle, Sitzbänke, Züri-WC, Basketball, Brunnen, Sonnenschirm","moderne, grosszügige Parkanlage","Spielplatz","Spiel- und Liegewiese, Liegerost aus Holz, Hartplatz","0173","POINT Z (2680878.2 1248185.6 0)"
"","Irringersteig                                                         ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Irringersteig                                                         ","","10418.0000000000","","","","","","","","","","","","","","","","8006","sp172","","1","","Spiel- und Liegewiese, Kletterelement, Sandkasten, Seilanlage mit Rutsche, Balanciergerät, Kletterelement, Sitzbänke                                                                                                                                      ","+41 44 361 63 18","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","172","JA","0 - 9 Jahre","Kletterelement, Sandkasten, Seilanlage mit Rutsche, Balanciergerät, Kletterelement","","Sitzbänke","Quartierspielplatz","Spielplatz","Spiel- und Liegewiese","0172","POINT Z (2684032 1248229.9 0)"
"","Bernerstrasse 331 (Spielplatz)                                        ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Sportanlage Juchhof                                                   ","","10419.0000000000","","","","","","","","","","","","","","","","8048","sp168","","1","","Hartplatz, Rotationsgerät, Brettschaukel,  Federwippe, Denkspiel,  Sandkasten, Reck, Sitzbänke, Sportanlage                                                                                                                                               ","+41 44 344 14 00","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","168","JA","0 - 5 Jahre","Rotationsgerät, Brettschaukel,  Federwippe, Denkspiel,  Sandkasten, Reck","","Sitzbänke","Die Anlage befindet sich am Rand der Sportanlage Juchhof. Der Spielplatz ist jederzeit zugänglich.","Spielplatz","Hartplatz","0168","POINT Z (2677631.8 1250280.6 0)"
"","Gablerstrasse 20 (Spielplatz)                                         ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Quartiertreff Enge                                                    ","","10420.0000000000","","","","","","","","","","","","","","","","8002","sp166","","1","","Spiel- und Liegewiese, Pumpe, Brettschaukel, Sandbereich, Matschtisch, Kletteranlage, Kletteranlage mit Rutsche, Korbschaukel, Spielhaus, Feuerstelle, Sitzbänke, Sonnenschirm, Quartiertreff, Café                                                       ","+41 44 201 75 00","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","166","JA","0 - 9 Jahre","Pumpe, Brettschaukel, Sandbereich, Matschtisch, Kletteranlage, Kletteranlage mit Rutsche, Korbschaukel, Spielhaus","","Feuerstelle, Sitzbänke, Sonnenschirm","Quartiertreff mit Café","Quartiertreff mit Spielplatz","Spiel- und Liegewiese","0166","POINT Z (2682408 1246003.2 0)"
"","Klosterfahrweg                                                        ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Fabrik am Wasser                                                      ","","10421.0000000000","","","","","","","","","","","","","","","","8049","sp165","","1","","Spiel- und Liegewiese, Hangrutsche, Rotationsgerät, Kletteranlage mit Rutsche, Korbschaukel, Klettergerät, Seilbahn, Sitzbänke, Limmat, Bistro                                                                                                            ","+41 44 344 14 00","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","165","JA","0 - 9 Jahre","Hangrutsche, Rotationsgerät, Kletteranlage mit Rutsche, Korbschaukel, Klettergerät, Seilbahn","","Sitzbänke","Spielanlage an der Limmat gelegen, Bistro direkt neben Spielplatz, ","Spielplatz","Spiel- und Liegewiese","0165","POINT Z (2680570.8 1249937.6 0)"
"","Letzigraben/Badener-/Brahmsstrasse                                    ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Heiligfeld                                                            ","","10425.0000000000","","","","","","","","","","","","","","","","8003","sp105","","1","","Spiel- und Liegewiese, Kletterfelsen, Kiesplatz, Kletteranlage mit Rutsche, Kletterelement, Sandbereich, Wasserspiel, Brettschaukel, Sitzbänke, Brunnen, Baumbestand                                                                                      ","+41 44 492 71 41","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","105","JA","0 - 5 Jahre","Kletteranlage mit Rutsche, Kletterelement, Sandbereich, Wasserspiel, Brettschaukel","","Sitzbänke, Brunnen","grosszügige Spielanlage mit schönem Baumbestand ","Spielplatz","Spiel- und Liegewiese, Kletterfelsen, Kiesplatz","0105","POINT Z (2680533 1248191.1 0)"
"","Bachwiesenstrasse/Mathysweg                                           ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","GZ Bachwiesen                                                         ","","10426.0000000000","","","","","","","","","","","","","","","","8047","sp103","","1","","Bachspielbereich, Tiergehege, Volière, Summstein, Brunnen, Pergola, Hamsterrad, Riesenschaukel, Kletteranlage, Brettschaukel, Sandbereich, Federwippe,  Balkenwippe, Spielhaus, Tischtennistisch, alte Dampfwalze, Gemeinschaftszentrum                   ","+41 44 431 57 61","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","103","JA","0 - 16 Jahre","Hamsterrad, Riesenschaukel, Kletteranlage mit Rutsche, Brettschaukel, Sandbereich, Federwippe,  Balkenwippe, Bockrutsche,  Pumpe, Spielhaus, Tischtennistisch","","Sitzbänke, alte Dampfwalze","Gemeinschaftszentrum, grosszügige, abwechslungsreiche Anlage mit Tieren ","GZ mit Spielplatz","Bachspielbereich, Spiel- und Liegewiese, Tiergehege, Volière, Summstein, Brunnen, Pergola","0103","POINT Z (2679131 1248252.9 0)"
"","Klingen-/Josefstrasse 46                                              ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Klingenhof                                                            ","","10427.0000000000","","","","","","","","","","","","","","","","8005","sp101","","1","","Kiesplatz, Rotationsgerät, Federwippe, Sandbereich, Hangrutsche, Sitzbänke, Brunnen, Basketballkorb, einmalige Spielanlage im Innenhof, Bauruine                                                                                                          ","+41 44 461 21 17","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","101","JA","0 - 5 Jahre","Rotationsgerät, Federwippe, Sandbereich, Hangrutsche","","Sitzbänke, Brunnen, Basketballkorb","einmalige Spielanlage im Innenhof, ehemalige Bauruine als Spielplatz genutzt","Spielplatz","Kiesplatz","0101","POINT Z (2682636 1248477.2 0)"
"","Saumackerstrasse, bei kath. Kirche                                    ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Saumackerstrasse                                                      ","","10428.0000000000","","","","","","","","","","","","","","","","8048","sp100","","1","","Kiesplatz, Brettschaukel, Federwippe, Pumpen, Sandbereich,Tischtennistisch, Sitzbänke, Brunnen                                                                                                                                                            ","+41 44 431 57 61","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","100","JA","0 - 5 Jahre ","Brettschaukel, Federwippe, Pumpen, Sandbereich,Tischtennistisch","","Sitzbänke, Brunnen","kleine Spielanlage","Spielplatz","Kiesplatz","0100","POINT Z (2679225.8 1248689.6 0)"
"","Stauffacher-/Feldstrasse                                              ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Bäckeranlage                                                          ","","10433.0000000000","","","","","","","","","","","","","","","","8004","sp108","","1","","Spiel- und Liegewiese, Planschbecken, Brettschaukel, Sitzkarussell, Sandkasten, Kletternetzpyramide, Bockrutsche, Korbschaukel, ZüriWC, Planschbecken, Sitzbänke, Spielanimation, Quartierzentrum Restaurant,  Baumbestand                                ","+41 44 461 21 17","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","108","JA","0 - 16 Jahre","Brettschaukel, Sitzkarussell, Sandkasten, Kletternetzpyramide, Bockrutsche, Korbschaukel","","ZüriWC, Planschbecken, Sitzbänke, Spielanimation","Quartierzentrum mit Restaurant, grosszügige Anlage mit verschiedenen Bereichen, alter Baumbestand","Spielplatz","Spiel- und Liegewiese, Planschbecken","0108","POINT Z (2681934.2 1248009.6 0)"
"","Erismannstrasse 2-16                                                  ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Erismannhof                                                           ","","10434.0000000000","","","","","","","","","","","","","","","","8004","sp107","","1","","Spiel- und Liegewiese, Brettschaukel, Sandkasten, Kletteranlage mit Rutsche, Tischtennistisch, Sitzbänke, Spielanlage im Innenhof                                                                                                                         ","+41 44 461 21 17","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","107","JA","0 - 5 Jahre","Brettschaukel, Sandkasten, Kletteranlage mit Rutsche, Tischtennistisch","","Sitzbänke","Spielanlage im Innenhof","Spielplatz","Spiel- und Liegewiese","0107","POINT Z (2681633 1248201.9 0)"
"","Regensberg-/Binzwiesen-/Friedheimstrasse                              ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Waldgarten                                                            ","","10435.0000000000","","","","","","","","","","","","","","","","8050","sp019","","1","","grosse Spiel- und Liegewiese, grosse Kiesfläche, Kletteranlage mit Rutsche, Brettschaukel, Kletterbaumstamm,  Sandbereich, Tischtennistisch, Sandkasten, Brunnen, Quartiertreff                                                                           ","+41 44 322 02 20","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","19","JA","0 - 16 Jahre","Kletteranlage mit Rutsche, Brettschaukel, Kletterbaumstamm,  Sandbereich, Tischtennistisch, Sandkasten","","Brunnen","grosse Spielwiese mit Quartiertreff","Spielplatz","grosse Spiel- und Liegewiese, grosse Kiesfläche","0019","POINT Z (2684275.8 1250981.4 0)"
"","Lyrenweg                                                              ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Buchlern Sportanlage                                                  ","","10440.0000000000","","","","","","","","","","","","","","","","8048","sp104b","","1","","Kiesplatz, Balkenwippe, Brettschaukel, Spielhaus, Federwippe, Drehteller, Sitzbänke, Brunnen,  Café                                                                                                                                                       ","+41 44 431 57 61","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","104b","JA","0 - 5 Jahre","Balkenwippe, Brettschaukel, Spielhaus, Federwippe, Drehteller","","Sitzbänke, Brunnen","übersichtliche Spielanlage neben Café bei Sportanlage","Spielplatz","Kiesplatz","0104B","POINT Z (2678406.5 1248303 0)"
"","Algierstrasse                                                         ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Buchlern                                                              ","","10441.0000000000","","","","","","","","","","","","","","","","8048","sp104a","","1","","Bach, Spiel- und Liegewiese, Bockrutsche, Federwippe, Seilbahn, Brettschaukel, Sandbereich, Federwippe, Balanciergerät, Kletteranlage mit Rutsche, Sitzbänke, Fussballtore, Bach                                                                          ","+41 44 431 57 61","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","104a","JA","0 - 9 Jahre","Bockrutsche, Federwippe, Seilbahn, Brettschaukel, Sandbereich, Federwippe, Balanciergerät, Kletteranlage mit Rutsche","","Sitzbänke, Fussballtore","grosszügige Spielanlage am Bach","Spielplatz","Bach, Spiel- und Liegewiese","0104A","POINT Z (2678626.2 1248188.8 0)"
