NHSTID,DIVA_NR,Y_KOORD,X_KOORD,CHSTNAME,CNAME,VTYP,HSTTYP,HAFAS_PRIO,LINKTEXT,ZONEN,SYMB_CODE,SYMB_TEXT,LINIEN,E,N
8582462,6730,,,"Bremgarten AG, Zelgli",Bremgarten AG,Bus,&nbsp;,0,,,2,Bus,231,2668710,1244505
8580302,6061,,,"Rottenschwil, Rebberg",Rottenschwil,Bus,&nbsp;,0,,,2,Bus,245,2669698,1240437
8502571,6059,,,"Rottenschwil, Kapelle",Rottenschwil,Bus,&nbsp;,0,,,2,Bus,245,2669826,1240774
8502570,6057,,,"Rottenschwil, Hecht",Rottenschwil,Bus,&nbsp;,0,,,2,Bus,245,2670580,1241331
8590202,466,,,"Bergdietikon, Bernold",Bergdietikon,Bus,&nbsp;,0,,184,2,Bus,"305,315",2671693,1249004
8502955,1959,,,"Oberlunkhofen, Post",Oberlunkhofen,Bus,&nbsp;,0,,155,2,Bus,231,2671925,1240530
8590200,425,,,"Bergdietikon, Baltenschwil",Bergdietikon,Bus,&nbsp;,0,,184,2,Bus,"305,315",2672021,1249544
8590738,1759,,,"Oetwil an der Limmat, Oberdorf",Oetwil an der Limmat,Bus,&nbsp;,0,,154,2,Bus,301,2672389,1253434
8590223,3344,,,"Dietikon, Stadthaus",Dietikon,Bus,&nbsp;,0,,154,2,Bus,"305,306,325",2672636,1250636
8595511,6894,,,"Dietikon, Heimstrasse",Dietikon,Bus,&nbsp;,0,,154,2,Bus,"301,302,304,N30,N34",2673018,1251305
8576273,722,,,Dänikon,Dänikon,Bus,&nbsp;,0,,117,2,Bus,"491,N45",2673025,1255460
8503410,13750,,,Rietheim,Rietheim AG,,&nbsp;,0,,,99,,,2663100,1272600
8503409,13749,,,Bad Zurzach,Bad Zurzach,,&nbsp;,0,,,99,,,2664500,1271200
8580451,3821,,,"Schneisingen, Mitteldorf",Schneisingen,Bus,&nbsp;,0,,,2,Bus,N51,2669675,1263597
8575017,3226,,,"Schleinikon, Dachsleren",Schleinikon,Bus,&nbsp;,0,,117,2,Bus,"555,N51",2671850,1261243
8505361,7043,,,"Oberweningen, Im Hüebli",Oberweningen,Bus,&nbsp;,0,,117,2,Bus,555,2672831,1261570
8583069,6796,,,"Ottenbach, Rigiblick",Ottenbach,,&nbsp;,0,,156,99,,,2673133,1236781
8590525,2313,,,"Dietikon, Schäflibach",Dietikon,Bus,&nbsp;,0,,154,2,Bus,N30,2673408,1250364
8590603,1556,,,"Fahrweid, Limmatbrücke",Fahrweid,Bus,&nbsp;,0,,154,2,Bus,"301,302,304,N30,N34",2673459,1251209
8590839,1178,,,"Urdorf, Herweg",Urdorf,Bus,&nbsp;,0,,154,2,Bus,"303,314,N30,N34",2674036,1249645
8590844,3589,,,"Urdorf, Oberurdorf",Urdorf,Bus,&nbsp;,0,,154,2,Bus,"302,314",2674336,1247907
8502882,1946,,,"Maschwanden, Dorf",Maschwanden,Bus,&nbsp;,0,,156,2,Bus,"230,N24",2674799,1231997
8590797,2051,,,"Schlieren, Reitmen",Schlieren,Bus,&nbsp;,0,,154,2,Bus,303,2675096,1250063
8502950,1541,,,"Birmensdorf ZH, Zentrum",Birmensdorf ZH,Bus,&nbsp;,0,,154,2,Bus,"215,227,245,350,N22,N23",2675444,1245267
8583870,6976,,,"Birmensdorf ZH, Bahnhof Süd",Birmensdorf ZH,Bus,&nbsp;,0,,154,2,Bus,"215,245,350",2675455,1245625
8573718,501,,,"Birmensdorf ZH, Bahnhof",Birmensdorf ZH,Bus,&nbsp;,0,,154,2,Bus,"215,227,245,314,350,N22,N23",2675560,1245603
8573725,1339,,,"Islisberg, Dorf",Islisberg,Bus,&nbsp;,0,,155,2,Bus,205,2675612,1241830
8590757,6007,,,"Regensdorf, Pumpwerkstrasse",Regensdorf,Bus,&nbsp;,0,,111,2,Bus,456,2677213,1255540
8583731,6918,,,"Birmensdorf ZH, Landikon Dorf",Birmensdorf ZH,Bus,&nbsp;,0,,154,2,Bus,"227,N23",2677252,1245162
8590793,1327,,,"Schlieren, Industrie Gaswerk",Schlieren,Bus,&nbsp;,0,,154,2,Bus,307,2677327,1250519
