name,lat,lon
"Bremgarten AG, Zelgli",47.34755699999999,8.348195
"Rottenschwil, Rebberg",47.311129,8.360389999999999
"Rottenschwil, Kapelle",47.314146,8.362135
"Rottenschwil, Hecht",47.3190007,8.3721558
"Bergdietikon, Bernold",47.39342569999999,8.390457
"Oberlunkhofen, Post",47.311782,8.390152
"Bergdietikon, Baltenschwil",47.3914982,8.3900657
"Oetwil an der Limmat, Oberdorf",47.4276989,8.3980801
"Dietikon, Stadthaus",47.4028722,8.401062999999999
"Dietikon, Heimstrasse",47.4113809,8.404369899999999
Dänikon,47.4458065,8.405108799999999
Rietheim,48.0395759,8.7803729
Bad Zurzach,47.5877895,8.293324799999999
"Schneisingen, Mitteldorf",47.519318,8.363863
"Schleinikon, Dachsleren",47.4981096,8.391421
"Oberweningen, Im Hüebli",47.5008999,8.404765099999999
"Ottenbach, Rigiblick",47.27808,8.40592
"Dietikon, Schäflibach",47.3779854,8.4282574
"Fahrweid, Limmatbrücke",47.4071011,8.4113391
"Urdorf, Herweg",47.3933633,8.4193792
"Urdorf, Oberurdorf",47.38398429999999,8.421891
"Maschwanden, Dorf",47.2348501,8.425837999999999
"Schlieren, Reitmen",47.3971923,8.433343599999999
"Birmensdorf ZH, Zentrum",47.35367,8.43714
"Birmensdorf ZH, Bahnhof Süd",47.357176,8.437007999999999
"Birmensdorf ZH, Bahnhof",47.357431,8.437555
"Islisberg, Dorf",47.3231894,8.4393759
"Regensdorf, Pumpwerkstrasse",47.4451973,8.4611308
"Birmensdorf ZH, Landikon Dorf",47.3527005,8.4612676
"Schlieren, Industrie Gaswerk",47.4008244,8.4632259
"Mettmenstetten, Rennweg",47.2463418,8.464974
"Adlikon b. R., Leematten",47.45257950000001,8.4670617
"Regensdorf, Altersheim",47.4340874,8.467560599999999
"Wettswil a.A., Heidenchilen",47.345627,8.466688999999999
Marthalen,47.6256347,8.650228799999999
Herblingen,47.725028,8.662806
"Neftenbach, Wolfzangen",47.5216366,8.670629
"Brütten, Hofacher",47.4708664,8.6705571
"Winterthur, Letten",47.5034767,8.6896104
"Oberschlatt TG, Fallentor",47.658044,8.6948726
Hettlingen,47.5470158,8.708790200000001
"Schlatt b. D'hofen, Wiesenth",48.19042109999999,13.8095249
"Unterohringen, Wisental",47.5349507,8.709561899999999
"Winterthur, Rosenau",47.4860014,8.709019399999999
"Unterohringen, Dorf",47.5364829,8.7363317
"Winterthur, Schützenhaus",47.519713,8.71776
"Winterthur, Jonas Furrer",47.5015655,8.7264929
"Winterthur, Breite",47.4895494,8.7261788
"Seuzach, Breitestrasse",47.53522,8.732046
"Seuzach, Gemeindehaus",47.5364829,8.7363317
"Winterthur, Bezirksgebäude",47.503768,8.7302052
"Winterthur, Haldengut",47.5071601,8.7309059
"Winterthur, Stadthaus",47.5005069,8.7305552
"Winterthur, Kantonsschule",47.4953936,8.7305619
"Winterthur, Eishalle",47.495193,8.748467999999999
"Winterthur, Oberes Büel",47.5079429,8.751261699999999
"Wetzikon ZH, Oberwetzikon",47.32492200000001,8.8074061
"Wetzikon ZH, Spital",47.321521,8.802438
"Kempten, Bahnhof",47.7120513,10.3168042
"Hittnau, Furt",47.3606725,8.8111704
"Kempten, Summerau",47.3382779,8.8160212
"Uster, Sportanlage",47.36021909999999,8.7255907
Wollerau,47.19717,8.713379999999999
"Freudwil, Im Dörfli",47.3752401,8.7346752
"Wilen bei Wollerau, Obereulen",47.197382,8.738280999999999
"Rumlikon, Dorfstrasse",47.4093193,8.760603699999999
"Theilingen, Post",47.4215765,8.767606299999999
"Grüningen, Im Haufland",47.28378,8.76797
"Hombrechtikon, Holflüe",47.2488927,8.76745
"Weisslingen, Dettenried",47.4411128,8.7764037
"Pfäffikon ZH, Bussenhausen",47.3726771,8.781684199999999
"Ottikon (Gossau), Strick",47.2975343,8.7822122
"Pfäffikon SZ, Wannenweid",47.1916416,8.781084
"Pfäffikon ZH, Hörnlistrasse",47.3679162,8.7902253
"Feldbach, Bahnhof",46.958559,15.888569
"Pfäffikon SZ, Huob",47.2007828,8.7821801
"Rikon im Tösstal, Bahnhof",47.44504070000001,8.7967434
"Wetzikon ZH, Widum",47.3286256,8.7901577
"Wolfhausen, Hüebli",47.2553637,8.7955307
"Pfäffikon ZH, Grundstrasse",47.3648815,8.8012639
"Kloten Balsberg, Bahnhof",47.4423245,8.570717
"Thalwil, Trotte",47.2911602,8.5660022
"Zollikon, Seestrasse",47.3374798,8.5687943
Zollikon (See),47.3281752,8.5920661
Thalwil (See),47.29665610000001,8.5678305
"Opfikon, Bubenholz",47.4338005,8.5699623
"Auslikon, Ober Balm",47.3454861,8.807167
"Hittnau, Hofhalden",47.34618469999999,8.8188519
"Hinwil, Hinwil Center Ost",47.3052211,8.8207644
"Hinwil, Wässeristrasse",47.3050778,8.8215652
"Rapperswil SG, Kinderzoo",47.22403329999999,8.822533199999999
Bubikon,47.2682174,8.8191356
"Bubikon, Ritterhaus",47.26652499999999,8.828257
"Rapperswil SG, Sportanl. Lido",47.2238382,8.8254177
"Hinwil, Kreuzplatz",47.3040089,8.832406599999999
"Dürnten, Rothus",47.2770713,8.8346434
"Jona, Vita-Parcours",47.2392285,8.837126999999999
"Jona, Schachen",47.2278218,8.8382905
"Saland, Laubberg",47.3839866,8.8456482
"Jona, Rankstrasse",47.2345531,8.8449754
"Bäretswil, Bahnhof",47.3373922,8.8514239
"Tann, Sonnenberg",47.2658925,8.8522593
"Bäretswil, Bärenplatz",47.3355476,8.8562029
Neuthal bei Bäretswil DVZO,47.3686602,8.8782099
"Rüti ZH, Laufenbach",47.2616769,8.8641157
"Bauma, Giess. Wolfensberger",47.3634655,8.8714743
"Ermenswil, Post",47.2459916,8.882909800000002
"Ermenswil, Stich",47.242382,8.889584
